#Label,X/Easting,Y/Northing,Z/Altitude,X_est,Y_est,Z_est
TIN - KhorramAbad - 14020519 -000160.JPG,241219.8674,3707298.348,1420.623,241218.6855,3707295.409,1376.073122
TIN - KhorramAbad - 14020519 -000161.JPG,241219.8674,3707298.348,1420.623,241210.1975,3707295.781,1375.934432
TIN - KhorramAbad - 14020519 -000162.JPG,241187.9987,3707299.486,1420.523,241184.7132,3707296.58,1375.652916
TIN - KhorramAbad - 14020519 -000163.JPG,241166.7031,3707299.931,1420.523,241157.5509,3707297.154,1375.510252
TIN - KhorramAbad - 14020519 -000164.JPG,241134.346,3707300.784,1420.423,241130.4163,3707297.88,1375.344884
TIN - KhorramAbad - 14020519 -000165.JPG,241112.8544,3707301.241,1420.423,241103.5137,3707298.459,1375.355393
TIN - KhorramAbad - 14020519 -000166.JPG,241080.3345,3707302.092,1420.323,241076.1623,3707299.179,1375.383766
TIN - KhorramAbad - 14020519 -000167.JPG,241058.5375,3707302.535,1420.323,241049.1508,3707299.709,1375.508543
TIN - KhorramAbad - 14020519 -000168.JPG,241026.3139,3707303.259,1420.323,241022.3226,3707300.333,1375.454043
TIN - KhorramAbad - 14020519 -000169.JPG,241004.3832,3707303.629,1420.223,240995.0712,3707300.898,1375.873448
TIN - KhorramAbad - 14020519 -000170.JPG,240971.7809,3707304.489,1420.023,240967.7194,3707301.571,1376.450536
TIN - KhorramAbad - 14020519 -000171.JPG,240950.1693,3707305.199,1420.023,240940.9226,3707302.443,1376.882502
TIN - KhorramAbad - 14020519 -000172.JPG,240918.0504,3707306.548,1420.323,240914.3839,3707303.642,1377.046183
TIN - KhorramAbad - 14020519 -000173.JPG,240896.8659,3707307.38,1420.423,240887.8708,3707304.548,1376.860716
TIN - KhorramAbad - 14020519 -000174.JPG,240872.5871,3707307.393,1420.323,240868.9998,3707303.047,1377.10171
TIN - KhorramAbad - 14020519 -000175.JPG,240874.0029,3707258.33,1420.123,240874.8781,3707254.978,1376.775178
TIN - KhorramAbad - 14020519 -000176.JPG,240895.3282,3707259.176,1420.323,240898.4502,3707255.849,1376.791412
TIN - KhorramAbad - 14020519 -000177.JPG,240925.9827,3707258.907,1420.723,240926.0256,3707255.648,1376.347859
TIN - KhorramAbad - 14020519 -000178.JPG,240945.981,3707258.259,1420.623,240953.2988,3707254.493,1376.022207
TIN - KhorramAbad - 14020519 -000179.JPG,240978.3698,3707256.85,1420.323,240980.7653,3707253.369,1375.930147
TIN - KhorramAbad - 14020519 -000180.JPG,241000.4594,3707255.655,1420.323,241008.0053,3707252.19,1376.151593
TIN - KhorramAbad - 14020519 -000181.JPG,241032.2382,3707254.623,1420.123,241034.947,3707251.21,1376.585253
TIN - KhorramAbad - 14020519 -000182.JPG,241062.7914,3707253.661,1420.123,241061.7074,3707250.331,1376.893994
TIN - KhorramAbad - 14020519 -000183.JPG,241083.0586,3707253.308,1420.323,241088.574,3707249.994,1376.963017
TIN - KhorramAbad - 14020519 -000184.JPG,241136.8023,3707252.794,1420.423,241134.914,3707249.524,1377.041045
TIN - KhorramAbad - 14020519 -000185.JPG,241136.8023,3707252.794,1420.423,241143.2972,3707249.306,1376.894244
TIN - KhorramAbad - 14020519 -000186.JPG,241168.5475,3707251.763,1420.523,241169.2889,3707248.461,1376.643706
TIN - KhorramAbad - 14020519 -000187.JPG,241190.0154,3707251.187,1420.523,241196.349,3707247.725,1376.479854
TIN - KhorramAbad - 14020519 -000188.JPG,241222.6772,3707250.033,1420.423,241223.6955,3707246.692,1376.521768
TIN - KhorramAbad - 14020519 -000189.JPG,241266.1171,3707248.893,1420.223,241270.5052,3707245.55,1376.793111
TIN - KhorramAbad - 14020519 -000190.JPG,241298.2284,3707248.217,1420.423,241297.1195,3707244.98,1376.720545
TIN - KhorramAbad - 14020519 -000191.JPG,241298.2284,3707248.217,1420.423,241305.5641,3707244.746,1376.732268
TIN - KhorramAbad - 14020519 -000192.JPG,241330.626,3707247.329,1420.423,241331.7057,3707244.029,1376.59206
TIN - KhorramAbad - 14020519 -000193.JPG,241352.3595,3707246.734,1420.523,241358.5366,3707243.287,1376.311541
TIN - KhorramAbad - 14020519 -000194.JPG,241384.8068,3707245.676,1420.523,241385.541,3707242.404,1376.145664
TIN - KhorramAbad - 14020519 -000195.JPG,241406.5379,3707245.186,1420.423,241412.7395,3707241.784,1375.976893
TIN - KhorramAbad - 14020519 -000196.JPG,241439.0278,3707244.272,1420.423,241439.5877,3707240.997,1376.003645
TIN - KhorramAbad - 14020519 -000197.JPG,241460.4131,3707243.702,1420.423,241466.6458,3707240.209,1375.872013
TIN - KhorramAbad - 14020519 -000198.JPG,241493.0176,3707242.726,1420.423,241493.7988,3707239.444,1376.052903
TIN - KhorramAbad - 14020519 -000199.JPG,241515.6624,3707242.292,1420.323,241520.9389,3707238.863,1376.140207
TIN - KhorramAbad - 14020519 -000200.JPG,241548.3291,3707241.42,1420.223,241547.9303,3707238.157,1376.322967
TIN - KhorramAbad - 14020519 -000201.JPG,241569.8813,3707240.808,1420.323,241574.8016,3707237.402,1376.399051
TIN - KhorramAbad - 14020519 -000202.JPG,241602.1957,3707239.905,1420.423,241601.8939,3707236.616,1376.38141
TIN - KhorramAbad - 14020519 -000203.JPG,241626.8113,3707240.119,1420.723,241624.8918,3707237.007,1377.343999
TIN - KhorramAbad - 14020519 -000204.JPG,240859.9017,3706947.242,1391.72,240862.5131,3706946.99,1368.829153
TIN - KhorramAbad - 14020519 -000205.JPG,240879.4895,3706948.029,1391.42,240881.3076,3706947.393,1368.851505
TIN - KhorramAbad - 14020519 -000206.JPG,240893.3889,3706947.918,1391.32,240899.2186,3706947.258,1368.764709
